模块类型,模块名称,功能点,预计工时(天),负责人,阶段,状态,备注
前端,场景选择页,场景列表展示,1,FE,第1周,待开发,-
前端,场景选择页,场景筛选/搜索,1,FE,第1周,待开发,-
前端,场景选择页,快速开始,1,FE,第1周,待开发,-
前端,对练界面优化,计时器组件,1,FE,第2周,待开发,-
前端,对练界面优化,进度条显示,1,FE,第2周,待开发,-
前端,对练界面优化,轮次切换,1,FE,第2周,待开发,-
前端,评估详情页,评估报告展示,2,FE,第5周,待开发,-
前端,评估详情页,历史记录查询,1,FE,第5周,待开发,-
前端,个人中心,练习统计面板,1,FE,第6周,待开发,-
前端,个人中心,成绩排行榜,1,FE,第6周,待开发,-
前端,数据导出,Excel/PDF导出,2,FE,第9周,待开发,-
后端,场景API,场景CRUD,1,BE,第1周,待开发,-
后端,场景API,时间配置传递,1,BE,第2周,待开发,-
后端,计时器服务,时间限制检测,1,BE,第2周,待开发,-
后端,计时器服务,超时处理,1,BE,第2周,待开发,-
后端,Agent配置,参数动态传递,2,BE,第3周,待开发,roleplay-agent配置
后端,Agent配置,场景配置注入,1,BE,第3周,待开发,-
后端,评估工作流,评分规则引擎,2,BE,第3周,待开发,-
后端,评估工作流,评估流程编排,1,BE,第3周,待开发,-
后端,对话流程编排,分支逻辑配置,2,BE,第4周,待开发,-
后端,知识库集成,检索优化,2,BE,第4周,待开发,-
后端,工作流监控,执行日志,2,BE,第4周,待开发,-
后端,评估存储,结果保存/查询,2,BE,第5周,待开发,-
后端,统计API,练习统计,1,BE,第6周,待开发,-
后端,统计API,排行榜数据,1,BE,第6周,待开发,-
后端,消息存储,对话历史持久化,2,BE,第6周,待开发,-
后端,API开放平台,RESTful API设计,2,BE,第7周,待开发,标准化接口
后端,API开放平台,SDK封装,1,BE,第7周,待开发,Python/JS SDK
后端,SSO单点登录,OAuth2.0认证,2,BE,第7周,待开发,-
后端,SSO单点登录,JWT令牌管理,1,BE,第7周,待开发,-
